ns007_009.PTP	0	0	<EMPTY>	绫星馆高校に移动しますか?	；去绫星馆高中吗？
ns007_009.PTP	1	0	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	1	1	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	1	2	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	2	0	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	2	1	男子生徒	あ⋯⋯⋯⋯{0A}う⋯⋯⋯⋯⋯⋯	；啊⋯⋯⋯⋯{0A}呜⋯⋯⋯⋯⋯⋯
ns007_009.PTP	3	0	男子生徒	う‒⋯⋯⋯あ⋯⋯	；唔⋯⋯⋯啊⋯⋯
ns007_009.PTP	3	1	男子生徒	⋯⋯⋯⋯。	；⋯⋯⋯⋯
ns007_009.PTP	3	2	男子生徒	あぁ⋯⋯	；啊啊⋯⋯
ns007_009.PTP	4	0	男子生徒	うぁぁぁ⋯{0A}あぅぅぅ⋯	；唔啊啊啊⋯{0A}啊呜呜呜⋯
ns007_009.PTP	4	1	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	5	0	男子生徒	う‒⋯⋯うぁ⋯⋯⋯{0A}ぁぁぁ⋯	；唔⋯⋯唔啊⋯⋯⋯{0A}啊啊啊⋯
ns007_009.PTP	5	1	男子生徒	あ‒⋯⋯⋯	；啊⋯⋯⋯
ns007_009.PTP	6	0	男子生徒	あぁぁ⋯⋯⋯	；啊啊啊⋯⋯⋯
ns007_009.PTP	6	1	男子生徒	う‒⋯うぅ⋯{0A}⋯⋯⋯。	；唔⋯呜呜⋯{0A}⋯⋯⋯
ns007_009.PTP	7	0	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	7	1	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	7	2	男子生徒	ぅあぁぁぁ⋯⋯⋯	；唔啊啊啊啊⋯⋯⋯
ns007_009.PTP	8	0	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	8	1	男子生徒	う⋯うぅぅぅ⋯⋯	；唔⋯唔唔唔唔⋯⋯
ns007_009.PTP	8	2	男子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	9	0	男子生徒	う‒⋯⋯う‒⋯	；唔⋯⋯唔⋯
ns007_009.PTP	9	1	男子生徒	うぅぅぅぅぅ⋯{0A}う⋯⋯⋯	；唔唔唔唔唔唔⋯{0A}唔⋯⋯⋯
ns007_009.PTP	10	0	男子生徒	うぁぁ⋯あ‒⋯⋯	；唔啊啊⋯啊⋯⋯
ns007_009.PTP	10	1	男子生徒	⋯⋯⋯⋯⋯。{0A}あぅ⋯⋯⋯	；⋯⋯⋯⋯⋯{0A}啊唔⋯⋯⋯
ns007_009.PTP	11	0	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	11	1	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	11	2	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	12	0	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	12	1	女子生徒	あ⋯⋯⋯⋯{0A}う⋯⋯⋯⋯⋯⋯	；啊⋯⋯⋯⋯{0A}呜⋯⋯⋯⋯⋯⋯
ns007_009.PTP	13	0	女子生徒	う‒⋯⋯⋯あ⋯⋯	；唔⋯⋯⋯啊⋯⋯
ns007_009.PTP	13	1	女子生徒	⋯⋯⋯⋯。	；⋯⋯⋯⋯
ns007_009.PTP	13	2	女子生徒	あぁ⋯⋯	；啊啊⋯⋯
ns007_009.PTP	14	0	女子生徒	うぁぁぁ⋯{0A}あぅぅぅ⋯	；唔啊啊啊⋯{0A}啊呜呜呜⋯
ns007_009.PTP	14	1	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	15	0	女子生徒	う‒⋯⋯うぁ⋯⋯⋯{0A}ぁぁぁ⋯	；唔⋯⋯唔啊⋯⋯⋯{0A}啊啊啊⋯
ns007_009.PTP	15	1	女子生徒	あ‒⋯⋯⋯	；啊⋯⋯⋯
ns007_009.PTP	16	0	女子生徒	あぁぁ⋯⋯⋯	；啊啊啊⋯⋯⋯
ns007_009.PTP	16	1	女子生徒	う‒⋯うぅ⋯{0A}⋯⋯⋯。	；唔⋯呜呜⋯{0A}⋯⋯⋯
ns007_009.PTP	17	0	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	17	1	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	17	2	女子生徒	ぅあぁぁぁ⋯⋯⋯	；唔啊啊啊啊⋯⋯⋯
ns007_009.PTP	18	0	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	18	1	女子生徒	う⋯うぅぅぅ⋯⋯	；唔⋯唔唔唔唔⋯⋯
ns007_009.PTP	18	2	女子生徒	⋯⋯⋯。	；⋯⋯⋯
ns007_009.PTP	19	0	女子生徒	う‒⋯⋯う‒⋯	；唔⋯⋯唔⋯
